year,mean_bpm,weighted_mean_bpm,top10_mean_bpm,mean_valence,weighted_mean_valence,top10_mean_valence,n_songs_with_data,gdp_growth_pct,unemployment_rate,recession,unemployment_lag1,gdp_growth_lag1
1975,113.93146153846153,115.97574560375145,101.176,0.7598461538461538,0.7668147713950763,0.7976666666666666,13,2.5547951202428143,8.475,1,,
1976,115.66022222222222,113.97455513307983,104.413,0.7326666666666666,0.7000950570342205,0.964,9,4.311515992322779,7.7,0,8.475,2.5547951202428143
1977,117.08064705882352,119.01376395939087,109.425,0.6021176470588234,0.6618781725888325,0.7955,17,5.013271221670101,7.05,0,7.7,4.311515992322779
1978,113.39577777777778,112.809013986014,101.785,0.6022222222222222,0.6020052447552448,0.942,9,6.659559719611163,6.066666666666666,0,7.05,5.013271221670101
1979,119.52561111111112,120.19264859632139,124.031,0.4742222222222223,0.4848983543078413,0.6316666666666667,18,1.284088156938723,5.8500000000000005,0,6.066666666666666,6.659559719611163
1980,116.7170625,114.96444031007752,111.988,0.6264375,0.5273441860465117,0.267,16,-0.0390515314881989,7.175,1,5.8500000000000005,1.284088156938723
1981,121.50542857142855,116.39669632925472,135.84849999999997,0.5353571428571429,0.5438331479421579,0.67875,14,1.2998250196119887,7.616666666666667,1,7.175,-0.0390515314881989
1982,113.8334,112.3077560137457,112.007,0.5608666666666667,0.5742050400916381,0.131,15,-1.4431837563933958,9.708333333333334,1,7.616666666666667,1.2998250196119887
1983,119.32246666666667,120.85840509259258,128.04325,0.5335533333333333,0.5994844907407407,0.60425,15,7.899663970222681,9.6,0,9.708333333333334,-1.4431837563933958
1984,119.466,121.92970437405734,129.85399999999998,0.3762545454545455,0.32699999999999996,0.038,11,5.575643773964911,7.508333333333333,0,9.6,7.899663970222681
1985,116.88574999999999,113.84034878587197,98.49449999999999,0.585375,0.5924348785871965,0.621,8,4.182460058948112,7.191666666666666,0,7.508333333333333,5.575643773964911
1986,108.19600000000001,107.72907812500002,,0.5576666666666666,0.57665625,,6,2.9072396676214085,7.0,0,7.191666666666666,4.182460058948112
